Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
107,SWV-MAO-VLNK,1,SWV,SAWANTWADI R,0:00:00,10:25:00,0,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
107,SWV-MAO-VLNK,2,THVM,THIVIM,11:06:00,11:08:00,32,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
107,SWV-MAO-VLNK,3,KRMI,KARMALI,11:28:00,11:30:00,49,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
107,SWV-MAO-VLNK,4,MAO,MADGOAN JN.,12:10:00,0:00:00,78,SWV,SAWANTWADI ROAD,MAO,MADGOAN JN.
290,PALACE ON WH,1,DSJ,DELHI-SAFDAR,18:30:00,18:30:00,0,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,2,GADJ,GANDHINAGAR,3:45:00,7:45:00,306,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,3,JP,JAIPUR JN.,8:00:00,11:55:00,311,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,4,DPA,DURGAPURA,18:00:00,20:00:00,318,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,5,SWM,SAWAI MADHOP,4:45:00,8:40:00,442,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,6,COR,CHITTAURGARH,0:05:00,2:00:00,707,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,7,UDZ,UDAIPUR CITY,8:00:00,11:00:00,821,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,8,JSM,JAISALMER,9:15:00,13:00:00,1660,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,9,MDB,MANDOR,7:00:00,10:50:00,1951,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,10,FL,PHULERA JN.,22:00:00,22:55:00,2213,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,11,BTE,BHARATPUR JN,5:00:00,8:45:00,2455,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,12,IDH,IDGAH,11:00:00,11:30:00,2507,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
290,PALACE ON WH,13,AGC,AGRA CANTT,19:00:00,19:30:00,2508,DSJ,DELHI-SAFDAR JANG,DSJ,DELHI-SAFDAR JANG
1011,CSMT-NGP SF,1,CSMT,CST-MUMBAI,0:20:00,0:20:00,0,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,2,DR,DADAR,0:37:00,0:40:00,8,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,3,TNA,THANE,1:07:00,1:10:00,33,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,4,KYN,KALYAN JN,1:32:00,1:35:00,53,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,5,IGP,IGATPURI,3:40:00,3:45:00,136,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,6,NK,NASIK ROAD,4:27:00,4:30:00,187,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,7,MMR,MANMAD JN.,5:27:00,5:30:00,260,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,8,JL,JALGAON JN.,7:08:00,7:10:00,419,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,9,BSL,BHUSAVAL JN.,7:35:00,7:45:00,444,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,10,MKU,MALKAPUR,8:18:00,8:20:00,499,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,11,SEG,SHEGAON,8:58:00,9:00:00,551,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,12,AK,AKOLA JN.,9:25:00,9:28:00,588,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,13,MZR,MURTAJAPUR J,10:02:00,10:05:00,626,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,14,BD,BADNERA JN.,11:02:00,11:05:00,667,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,15,DMN,DHAMANGAON,11:41:00,11:42:00,713,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,16,PLO,PULGAON JN.,11:58:00,11:59:00,733,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,17,WR,WARDHA JN.,12:32:00,12:35:00,762,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,18,NGP,NAGPUR JN.(C,14:20:00,14:20:00,841,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)